Port:              P038
Site:              Aberdeen
Latitude:          57.14325
Longitude:         -2.07451
Start Date:        01JAN1947-00.00.00
End Date:          31DEC1947-23.00.00
Contributor:       National Oceanography Centre, Liverpool
Datum information: The data refer to Admiralty Chart Datum (ACD)
Parameter code:    ASLVZZ01 = Surface elevation (unspecified datum) of the water body                      
  Cycle    Date      Time      ASLVZZ01     Residual  
 Number yyyy mm dd hh mi ssf           f            f 
   227) 1947/01/10 10:00:00    -99.0000N    -99.0000N 
   228) 1947/01/10 11:00:00    -99.0000N    -99.0000N 
   229) 1947/01/10 12:00:00    -99.0000N    -99.0000N 
   230) 1947/01/10 13:00:00    -99.0000N    -99.0000N 
   231) 1947/01/10 14:00:00    -99.0000N    -99.0000N 
   232) 1947/01/10 15:00:00    -99.0000N    -99.0000N 
   233) 1947/01/10 16:00:00    -99.0000N    -99.0000N 
   234) 1947/01/10 17:00:00    -99.0000N    -99.0000N 
   235) 1947/01/10 18:00:00    -99.0000N    -99.0000N 
   236) 1947/01/10 19:00:00    -99.0000N    -99.0000N 
   237) 1947/01/10 20:00:00    -99.0000N    -99.0000N 
   238) 1947/01/10 21:00:00    -99.0000N    -99.0000N 
   239) 1947/01/10 22:00:00    -99.0000N    -99.0000N 
   240) 1947/01/10 23:00:00    -99.0000N    -99.0000N 
   241) 1947/01/11 00:00:00    -99.0000N    -99.0000N 
   242) 1947/01/11 01:00:00    -99.0000N    -99.0000N 
   243) 1947/01/11 02:00:00    -99.0000N    -99.0000N 
   244) 1947/01/11 03:00:00    -99.0000N    -99.0000N 
   245) 1947/01/11 04:00:00    -99.0000N    -99.0000N 
   246) 1947/01/11 05:00:00    -99.0000N    -99.0000N 
   247) 1947/01/11 06:00:00    -99.0000N    -99.0000N 
   248) 1947/01/11 07:00:00    -99.0000N    -99.0000N 
   249) 1947/01/11 08:00:00    -99.0000N    -99.0000N 
   250) 1947/01/11 09:00:00    -99.0000N    -99.0000N 
   251) 1947/01/11 10:00:00    -99.0000N    -99.0000N 
   252) 1947/01/11 11:00:00    -99.0000N    -99.0000N 
   253) 1947/01/11 12:00:00    -99.0000N    -99.0000N 
   254) 1947/01/11 13:00:00    -99.0000N    -99.0000N 
   255) 1947/01/11 14:00:00    -99.0000N    -99.0000N 
   256) 1947/01/11 15:00:00    -99.0000N    -99.0000N 
   257) 1947/01/11 16:00:00      4.0291M     -0.2675M 
   258) 1947/01/11 17:00:00      3.8157M     -0.4335M 
   259) 1947/01/11 18:00:00      3.3280M     -0.4917M 
   260) 1947/01/11 19:00:00      2.6575M     -0.4264M 
   261) 1947/01/11 20:00:00      1.7431M     -0.4326M 
   262) 1947/01/11 21:00:00      1.0420M     -0.2910M 
   263) 1947/01/11 22:00:00      0.6763M     -0.1344M 
   264) 1947/01/11 23:00:00      0.6763M     -0.0305M 
   265) 1947/01/12 00:00:00      1.0420M      0.0208M 
   266) 1947/01/12 01:00:00      1.7431M      0.0446M 
   267) 1947/01/12 02:00:00      2.5660M      0.1312M 
   268) 1947/01/12 03:00:00      3.2061M      0.0839M 
   269) 1947/01/12 04:00:00      3.7853M      0.0867M 
   270) 1947/01/12 05:00:00      3.9681M      0.0117M 
   271) 1947/01/12 06:00:00      3.7243M     -0.0961M 
   272) 1947/01/12 07:00:00      3.2061M     -0.1375M 
   273) 1947/01/12 08:00:00      2.5965M     -0.0768M 
   274) 1947/01/12 09:00:00      1.9564M     -0.0312M 
   275) 1947/01/12 10:00:00      1.5907M      0.0711M 
   276) 1947/01/12 11:00:00      1.5907M      0.1925M 
   277) 1947/01/12 12:00:00      1.8955M      0.2653M 
   278) 1947/01/12 13:00:00      2.5660M      0.3609M 
   279) 1947/01/12 14:00:00      3.2061M      0.3240M 
   280) 1947/01/12 15:00:00      3.7243M      0.2800M 
   281) 1947/01/12 16:00:00      4.0901M      0.1830M 
   282) 1947/01/12 17:00:00      4.2425M      0.1016M 
   283) 1947/01/12 18:00:00      3.9681M     -0.0803M 
   284) 1947/01/12 19:00:00      3.4195M     -0.1858M 
   285) 1947/01/12 20:00:00      2.7489M     -0.1560M 
   286) 1947/01/12 21:00:00      1.9564M     -0.1320M 
   287) 1947/01/12 22:00:00      1.2859M     -0.0992M 
   288) 1947/01/12 23:00:00      1.1335M      0.1415M 
   289) 1947/01/13 00:00:00      1.2859M      0.3308M 
   290) 1947/01/13 01:00:00      1.5907M      0.2986M 
   291) 1947/01/13 02:00:00      2.2003M      0.3083M 
   292) 1947/01/13 03:00:00      2.7489M      0.2490M 
   293) 1947/01/13 04:00:00      3.3585M      0.2686M 
   294) 1947/01/13 05:00:00      3.7243M      0.1698M 
   295) 1947/01/13 06:00:00      3.7243M     -0.0140M 
   296) 1947/01/13 07:00:00      3.4804M     -0.0918M 
   297) 1947/01/13 08:00:00      2.9013M     -0.2241M 
   298) 1947/01/13 09:00:00      2.3527M     -0.1873M 
   299) 1947/01/13 10:00:00      1.8345M     -0.1504M 
   300) 1947/01/13 11:00:00      1.5297M     -0.1187M 
   301) 1947/01/13 12:00:00      1.5297M     -0.0699M 
   302) 1947/01/13 13:00:00      1.8345M     -0.0190M 
   303) 1947/01/13 14:00:00      2.3527M     -0.0232M 
   304) 1947/01/13 15:00:00      2.9623M      0.0428M 
   305) 1947/01/13 16:00:00      3.4195M      0.0313M 
   306) 1947/01/13 17:00:00      3.8157M      0.0488M 
   307) 1947/01/13 18:00:00      3.9681M      0.0234M 
   308) 1947/01/13 19:00:00      3.8157M     -0.0194M 
   309) 1947/01/13 20:00:00      3.3585M     -0.0567M 
   310) 1947/01/13 21:00:00      2.8099M      0.0262M 
   311) 1947/01/13 22:00:00      1.9869M     -0.0956M 
   312) 1947/01/13 23:00:00      1.5907M      0.0724M 
   313) 1947/01/14 00:00:00      1.3468M      0.1248M 
   314) 1947/01/14 01:00:00      1.3773M      0.1557M 
   315) 1947/01/14 02:00:00      1.8040M      0.2634M 
   316) 1947/01/14 03:00:00      2.0479M      0.0190M 
   317) 1947/01/14 04:00:00      2.7184M      0.1852M 
   318) 1947/01/14 05:00:00      3.2061       0.1722  
   319) 1947/01/14 06:00:00      3.5719       0.1618  
   320) 1947/01/14 07:00:00      3.5719       0.0245  
   321) 1947/01/14 08:00:00      3.3585      -0.0247  
   322) 1947/01/14 09:00:00      2.9013      -0.0904  
   323) 1947/01/14 10:00:00      2.4441      -0.0544  
   324) 1947/01/14 11:00:00      2.0479      -0.0091  
   325) 1947/01/14 12:00:00      1.8345       0.0295  
   326) 1947/01/14 13:00:00      1.8345       0.0569  
   327) 1947/01/14 14:00:00      2.0479       0.0372  
   328) 1947/01/14 15:00:00      2.5051       0.0720  
   329) 1947/01/14 16:00:00      2.9623       0.0978  
   330) 1947/01/14 17:00:00      3.3585       0.0903  
   331) 1947/01/14 18:00:00      3.6329       0.0416  
   332) 1947/01/14 19:00:00      3.6633      -0.0837  
   333) 1947/01/14 20:00:00      3.4195      -0.2302  
   334) 1947/01/14 21:00:00      3.0537      -0.2286  
   335) 1947/01/14 22:00:00      2.5051      -0.2317  
   336) 1947/01/14 23:00:00      1.8955      -0.2531  
   337) 1947/01/15 00:00:00      1.5297      -0.1617  
   338) 1947/01/15 01:00:00      1.3773      -0.0683  
   339) 1947/01/15 02:00:00      1.4383      -0.0139  
   340) 1947/01/15 03:00:00      1.6516      -0.0642  
   341) 1947/01/15 04:00:00      2.2612       0.1562  
   342) 1947/01/15 05:00:00      2.7184       0.1744  
   343) 1947/01/15 06:00:00      3.2061       0.2265  
   344) 1947/01/15 07:00:00      3.5109       0.2071  
   345) 1947/01/15 08:00:00      3.5719       0.1465  
   346) 1947/01/15 09:00:00      3.4195       0.1311  
   347) 1947/01/15 10:00:00      3.2061       0.2476  
   348) 1947/01/15 11:00:00      2.8099       0.2698  
   349) 1947/01/15 12:00:00      2.4441       0.2754  
   350) 1947/01/15 13:00:00      2.2917       0.3519  
   351) 1947/01/15 14:00:00      2.2917       0.3998  
   352) 1947/01/15 15:00:00      2.4441       0.3779  
   353) 1947/01/15 16:00:00      2.8099       0.4238  
   354) 1947/01/15 17:00:00      3.2061       0.4545  
   355) 1947/01/15 18:00:00      3.5719       0.4492  
   356) 1947/01/15 19:00:00      3.8767       0.4508  
   357) 1947/01/15 20:00:00      3.9681       0.3784  
   358) 1947/01/15 21:00:00      3.8157       0.2886  
   359) 1947/01/15 22:00:00      3.5109       0.2881  
   360) 1947/01/15 23:00:00      3.0537       0.2978  
   361) 1947/01/16 00:00:00      2.5965       0.3460  
   362) 1947/01/16 01:00:00      2.2917       0.4433  
   363) 1947/01/16 02:00:00      2.1393       0.5265  
   364) 1947/01/16 03:00:00      2.2003       0.5985  
   365) 1947/01/16 04:00:00      2.4441       0.6388  
   366) 1947/01/16 05:00:00      2.7489       0.6063  
   367) 1947/01/16 06:00:00      3.2061       0.6506  
   368) 1947/01/16 07:00:00      3.5719       0.6104  
   369) 1947/01/16 08:00:00      3.8767       0.6075  
   370) 1947/01/16 09:00:00      3.9377       0.5390  
   371) 1947/01/16 10:00:00      3.8157       0.5228  
   372) 1947/01/16 11:00:00      3.4195       0.4137  
   373) 1947/01/16 12:00:00      3.0537       0.4320  
   374) 1947/01/16 13:00:00      2.6575       0.3944  
   375) 1947/01/16 14:00:00      2.3527       0.3467  
   376) 1947/01/16 15:00:00      2.2612       0.3493  
   377) 1947/01/16 16:00:00      2.2917       0.2741  
   378) 1947/01/16 17:00:00      2.5660       0.2885  
   379) 1947/01/16 18:00:00      2.8708       0.2443  
   380) 1947/01/16 19:00:00      3.2061       0.2066  
   381) 1947/01/16 20:00:00      3.4804       0.1657  
   382) 1947/01/16 21:00:00      3.6633       0.1551  
   383) 1947/01/16 22:00:00      3.5719       0.0880  
   384) 1947/01/16 23:00:00      3.3280       0.0993  
   385) 1947/01/17 00:00:00      2.9013       0.0943  
   386) 1947/01/17 01:00:00      2.4136       0.0773  
   387) 1947/01/17 02:00:00      1.9869       0.0478  
   388) 1947/01/17 03:00:00      1.7431       0.0528  
   389) 1947/01/17 04:00:00      1.7431       0.0875  
   390) 1947/01/17 05:00:00      1.9564       0.1208  
   391) 1947/01/17 06:00:00      2.3527       0.1767  
   392) 1947/01/17 07:00:00      2.7489       0.1486  
   393) 1947/01/17 08:00:00      3.1147       0.1058  
   394) 1947/01/17 09:00:00      3.4195       0.0943  
   395) 1947/01/17 10:00:00      3.5719       0.1066  
   396) 1947/01/17 11:00:00      3.5109       0.1411  
   397) 1947/01/17 12:00:00      3.2061       0.1222  
   398) 1947/01/17 13:00:00      2.7489       0.0670  
   399) 1947/01/17 14:00:00      2.3527       0.0680  
   400) 1947/01/17 15:00:00      1.9869       0.0134  
   401) 1947/01/17 16:00:00      1.8345       0.0040  
   402) 1947/01/17 17:00:00      1.9869       0.0864  
   403) 1947/01/17 18:00:00      2.2917       0.1309  
   404) 1947/01/17 19:00:00      2.6575       0.1208  
   405) 1947/01/17 20:00:00      3.0232       0.0825  
   406) 1947/01/17 21:00:00      3.4195       0.1301  
   407) 1947/01/17 22:00:00      3.6633       0.1466  
   408) 1947/01/17 23:00:00      3.6329       0.1221  
   409) 1947/01/18 00:00:00      3.3585       0.0902  
   410) 1947/01/18 01:00:00      2.9623       0.1205  
   411) 1947/01/18 02:00:00      2.4136       0.0564  
   412) 1947/01/18 03:00:00      2.0479       0.1125  
   413) 1947/01/18 04:00:00      1.7431       0.0724  
   414) 1947/01/18 05:00:00      1.6821       0.0438  
   415) 1947/01/18 06:00:00      1.8345      -0.0183  
   416) 1947/01/18 07:00:00      2.2612       0.0196  
   417) 1947/01/18 08:00:00      2.7184       0.0118  
   418) 1947/01/18 09:00:00      3.1147      -0.0208  
   419) 1947/01/18 10:00:00      3.4195      -0.0471  
   420) 1947/01/18 11:00:00      3.5109      -0.0820  
   421) 1947/01/18 12:00:00      3.3585      -0.1098  
   422) 1947/01/18 13:00:00      3.0232      -0.1071  
   423) 1947/01/18 14:00:00      2.5051      -0.1592  
   424) 1947/01/18 15:00:00      1.9869      -0.2140  
   425) 1947/01/18 16:00:00      1.6516      -0.1869  
   426) 1947/01/18 17:00:00      1.4992      -0.1758  
   427) 1947/01/18 18:00:00      1.5297      -0.2412  
   428) 1947/01/18 19:00:00      1.8955      -0.1887  
   429) 1947/01/18 20:00:00      2.3527      -0.1682  
   430) 1947/01/18 21:00:00      2.8099      -0.1606  
   431) 1947/01/18 22:00:00      3.2671      -0.0931  
   432) 1947/01/18 23:00:00      3.4195      -0.1802  
